序号,产品名称,型号,流量Q(m3/h),扬程H(m),转数,功率N(KW),数量,税率,单价,总价,品牌,备注
5,潜水排污泵,50WQ15-18-2.2,15,18,,2.2,4,0.13,1200,4800,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,4,0.13,200,800,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,4,0.13,450,1800,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,4,0.13,150,600,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-2.2,,,,,2,0.13,1250,2500,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
6,潜水排污泵,50WQ10-18-2.2,10,18,,2.2,2,0.13,1200,2400,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,2,0.13,200,400,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,2,0.13,450,900,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,2,0.13,150,300,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-2.2,,,,,工,0.13,1250,1250,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
7,潜水排污泵,100WQ65-20-7.5,65,20,,7.5,3,0.13,3200,9600,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-100,,,,,3,0.13,500,1500,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,3,0.13,650,1950,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,3,0.13,150,450,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-7.5,,,,,1,0.13,2500,2500,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
8,潜水排污泵,65WQ40-20-4,40,20,,4,2,0.13,1850,3700,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-65,,,,,2,0.13,250,500,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,2,0.13,450,900,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,2,0.13,150,300,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-4,,,,,1,0.13,1250,1250,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
9,潜水排污泵,50WQ30-20-3,30,20,,3,6,0.13,1300,7800,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,6,0.13,200,1200,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,6,0.13,450,2700,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,6,0.13,150,900,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-3,,,,,3,0.13,1250,3750,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
10,潜水排污泵,50WQ25-20-3,25,20,,3,16,0.13,1300,20800,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,16,0.13,200,3200,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,16,0.13,450,7200,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,16,0.13,150,2400,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-3,,,,,8,0.13,1250,10000,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
11,潜水排污泵,50WQ25-20-3,25,20,,3,10,0.13,1300,13000,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,10,0.13,200,2000,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,10,0.13,450,4500,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,10,0.13,150,1500,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-3,,,,,5,0.13,1250,6250,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
12,潜水排污泵,50WQ25-15-2.2,25,15,,2.2,2,0.13,1200,2400,申宝,标配电缆5米增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,2,0.13,200,400,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,2,0.13,450,900,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,2,0.13,150,300,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-2.2,,,,,1,0.13,1250,1250,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
13,潜水排污泵,50WQ25-15-2.2,20,20,,2.2,8,0.13,1200,9600,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,8,0.13,200,1600,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,8,0.13,450,3600,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,8,0.13,150,1200,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-2.2,,,,,4,0.13,1250,5000,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
14,潜水排污泵,50WQ15-20-2.2,15,20,,2.2,1,0.13,1200,1200,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,1,0.13,200,200,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,1,0.13,450,450,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,1,0.13,150,150,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-1L-2.2,,,,,1,0.13,900,900,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
15,潜水排污泵,50WQ10-30-4,10,30,,4,2,0.13,1650,3300,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,2,0.13,200,400,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,2,0.13,450,900,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,2,0.13,150,300,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-4,,,,,1,0.13,1250,1250,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
16,潜水排污泵,50WQ10-20-2.2,10,20,,2.2,18,0.13,1200,21600,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,18,0.13,200,3600,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,18,0.13,450,8100,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,18,0.13,200,3600,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-2.2,,,,,9,0.13,1250,11250,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
17,卫生间一体化提升装置,,,,,,9,0.13,,,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,潜水排污泵,80WQ50-25-7.5,15L/S,25,,7.5,18,0.13,2900,52200,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-80,,,,,18,0.13,400,7200,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度1米(2根一套),,,,,18,0.13,400,7200,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度1米,,,,,18,0.13,60,1080,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢水箱,"配置：1500*1000*1000不锈钢304水箱
一台(厚度2mm)",,,,,9,0.13,8500,76500,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-7.5,,,,,9,0.13,2500,22500,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
19,潜水排污泵,65WQ25-36-7.5,36,35,,7.5,20,0.13,2900,58000,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-65,,,,,20,0.13,250,5000,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,20,0.13,450,9000,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,20,0.13,150,3000,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-7.5,,,,,10,0.13,2500,25000,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
20,潜水排污泵,50WQ20-32-5.5,20,32,,5.5,76,0.13,2300,174800,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,76,0.13,200,15200,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,76,0.13,450,34200,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,76,0.13,150,11400,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-5.5,,,,,38,0.13,1600,60800,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
21,潜水排污泵,50WQ15-35-5.5,15,35,,5.5,2,0.13,2300,4600,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,2,0.13,200,400,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,2,0.13,450,900,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,2,0.13,150,300,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,,,,,,,,0.13,,,申宝,一控二；自动交替带BA接口：只监不控2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,"
控制柜",SBKP-2ACL-5.5,,,,,1,0.13,1600,1600,申宝,"(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
22,卫生间一体化提升装置,,,,,,1,0.13,,,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,潜水排污泵,50WQ20-35-7.5,20,35,,7.5,2,0.13,2800,5600,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,2,0.13,200,400,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度1米(2根一套),,,,,2,0.13,250,500,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度1米,,,,,2,0.13,60,120,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢水箱,"配置：1000*1000*1000不锈钢304水箱
一台(厚度2mm)",,,,,1,0.13,6500,6500,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-7.5,,,,,1,0.13,2500,2500,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
24,潜水排污泵,80WQ60-30-11,60,30,,11,12,0.13,4300,51600,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-80,,,,,12,0.13,400,4800,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,12,0.13,650,7800,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,12,0.13,150,1800,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-11,,,,,6,0.13,3000,18000,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
25,潜水排污泵,65WQ36-35-7.5,36,35,,7.5,3,0.13,2900,8700,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
