序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
16,,"全球墨铸铁
阀体微阻缓闭止回阀",DN200,HH44X-10Q,1.0Mpa,球墨铸铁,球墨铸铁,/,/,橡胶,个,1,2194.95,2194.95,0.13,285.05,2480,上海贵龙,2025.10.17；
17,,Y型过滤器,DN200,YSTX-16Q,1.0Mpa,铸铁,铸铁,/,/,橡胶,个,1,1091.89,1091.89,0.13,142.11,1234,上海贵龙,2025.10.17；
18,,Y型过滤器,DN50,YF11W-16T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,3,111.59,334.77,0.13,43.23,378,上海贵龙,2025.10.17；
19,,Y型过滤器,DN32,YF11W-16T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,1,60.09,60.09,0.13,7.91,68,上海贵龙,2025.10.17；
20,,Y型过滤器,DN25,YF11W-16T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,12,36.05,432.6,0.13,56.4,489,上海贵龙,2025.10.17；
21,,倒流防止器,DN50,HS11X-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,3,320.19,960.57,0.13,124.43,1085,上海贵龙,2025.10.17；
22,,倒流防止器,DN32,HS11X-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,4,171.68,686.72,0.13,89.28,776,上海贵龙,2025.10.17；
23,,倒流防止器,DN25,HS11X-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,27,114.17,3082.59,0.13,400.41,3483,上海贵龙,2025.10.17；
24,,自动放气阀,DN25,B725X-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,29,22.32,647.28,0.13,83.72,731,上海贵龙,2025.10.17；
25,,铁壳铜芯暗杆闸阀,DN80,Z45X-10Q,1.0Mpa,铸铁,铜芯,铜,铁,橡胶,个,2,405.17,810.34,0.13,105.66,916,上海贵龙,2025.10.17；
26,,铁壳铜芯暗杆闸阀,DN65,Z45X-10Q,1.0Mpa,铸铁,铜芯,铜,铁,橡胶,个,3,278.98,836.94,0.13,109.06,946,上海贵龙,2025.10.17；
27,,黄铜球阀,DN50,Q11F-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,4,122.75,491,0.13,64,555,上海贵龙,2025.10.17；
28,,黄铜球阀,DN32,Q11F-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,2,60.09,120.18,0.13,15.82,136,上海贵龙,2025.10.17；
29,,黄铜球阀,DN25,Q11F-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,4,33.47,133.88,0.13,17.12,151,上海贵龙,2025.10.17；
30,,黄铜球阀,DN20,Q11F-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,39,24.04,937.56,0.13,121.44,1059,上海贵龙,2025.10.17；
31,,Y型过滤器,DN80,YSTX-16Q,1.0Mpa,铸铁,铸铁,/,/,橡胶,个,1,261.81,261.81,0.13,34.19,296,上海贵龙,2025.10.17；
32,,Y型过滤器,DN65,YSTX-16Q,1.0Mpa,铸铁,铸铁,/,/,橡胶,个,1,210.31,210.31,0.13,27.69,238,上海贵龙,2025.10.17；
33,,倒流防止器,DN80,HS41X-16Q,1.0Mpa,铸铁,铸铁,/,/,橡胶,个,1,1465.3,1465.3,0.13,190.7,1656,上海贵龙,2025.10.17；
34,,倒流防止器,DN65,HS41X-16Q,1.0Mpa,铸铁,铸铁,/,/,橡胶,个,1,1075.58,1075.58,0.13,139.42,1215,上海贵龙,2025.10.17；
35,,自动排气阀,DN25,B725X-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,4,22.32,89.28,0.13,11.72,101,上海贵龙,2025.10.17；
36,,水龙头（带自锁）,DN20,,1.0Mpa,,,,,,个,39,0,0,0.13,0,0,,2025.10.17；
37,,黄铜截止阀（长柄）,DN50,J11W-10T,1.0Mpa,黄铜,黄铜,黄铜,黄铜,丝扣,个,8,135.63,1085.04,0.13,140.96,1226,上海贵龙,2025.10.17；
38,,减压阀,DN50,,1.0Mpa,,,,,,个,4,208.59,834.36,0.13,108.64,943,上海贵龙,2025.10.17；
39,,给水铜芯闸阀,DN80,Z41T-10Q,1.0Mpa,铸铁,铜芯,铜,铁,橡胶,个,2,485.85,971.7,0.13,126.3,1098,上海贵龙,2025.10.17；
40,,给水铜芯闸阀,DN65,Z41T-10Q,1.0Mpa,铸铁,铜芯,铜,铁,橡胶,个,2,440.36,880.72,0.13,114.28,995,上海贵龙,2025.10.17；
41,,黄铜截止阀,DN50,J11W-10T,1.0Mpa,黄铜,黄铜,黄铜,黄铜,丝扣,个,12,135.63,1627.56,0.13,211.44,1839,上海贵龙,2025.10.17；
42,,黄铜截止阀,DN32,J11W-10T,1.0Mpa,黄铜,黄铜,黄铜,黄铜,丝扣,个,1,57.51,57.51,0.13,7.49,65,上海贵龙,2025.10.17；
43,,黄铜截止阀,DN25,J11W-10T,1.0Mpa,黄铜,黄铜,黄铜,黄铜,丝扣,个,8,38.63,309.04,0.13,39.96,349,上海贵龙,2025.10.17；
44,,真空破坏器,DN25,,1.0Mpa,,,,,,个,8,44.64,357.12,0.13,46.88,404,上海贵龙,2025.10.17；
45,,铜芯球墨铸铁闸阀,DN150,Z41T-10Q,1.0Mpa,球墨铸铁,铜芯,铜,铁,橡胶,个,5,957.13,4785.65,0.13,622.35,5408,上海贵龙,2025.10.17；
46,,铜芯球墨铸铁闸阀,DN100,Z41T-10Q,1.0Mpa,球墨铸铁,铜芯,铜,铁,橡胶,个,8,588,4704,0.13,612,5316,上海贵龙,2025.10.17；
47,,铜芯球墨铸铁闸阀,DN80,Z41T-10Q,1.0Mpa,球墨铸铁,铜芯,铜,铁,橡胶,个,12,485.85,5830.2,0.13,757.8,6588,上海贵龙,2025.10.17；
48,,铜芯球墨铸铁闸阀,DN65,Z41T-10Q,1.0Mpa,球墨铸铁,铜芯,铜,铁,橡胶,个,2,440.36,880.72,0.13,114.28,995,上海贵龙,2025.10.17；
49,,黄铜截止阀,DN32,J11W-10T,1.0Mpa,黄铜,黄铜,黄铜,黄铜,丝扣,个,1,57.51,57.51,0.13,7.49,65,上海贵龙,2025.10.17；
50,,止回阀,DN65,H44X-10Q,1.0Mpa,铸铁,铸铁,/,/,橡胶,个,1,267.83,267.83,0.13,35.17,303,上海贵龙,2025.10.17；
51,,止回阀,DN32,H14W-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,1,60.09,60.09,0.13,7.91,68,上海贵龙,2025.10.17；
52,,可曲绕橡胶接头单球,DN65,KXT,1.0Mpa,/,/,/,/,/,个,1,105.58,105.58,0.13,13.42,119,上海贵龙,2025.10.17；
