序号,产品名称,型号,流量Q(m3/h),扬程H(m),转数,功率N(KW),数量,税率,单价,总价,品牌,备注
,导杆,DN32×3.5,,,,,22,0.13,165,3630,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,22,0.13,60,1320,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
3,非机动车道排水集水井潜水排污泵,50WQE20-15-1.5,20,15,,1.5,4,0.13,1220,4880,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-2ACS-1.5/B（主要元器件：正泰）,,,,,2,0.13,1405,2810,上海连城,一用一备；超高液位报警、二泵同时启动2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-50,,,,,4,0.13,340,1360,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,4,0.13,80,320,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,4,0.13,165,660,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,4,0.13,60,240,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
4,汽车坡道排水集水井潜水排污泵,80WQE50-15-4,50,15,,4,4,0.13,2030,8120,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-2ACS-4/B（主要元器件：正泰）,,,,,2,0.13,1405,2810,上海连城,一用一备；超高液位报警、二泵同时启动2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-80,,,,,4,0.13,590,2360,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,4,0.13,80,320,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,4,0.13,165,660,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,4,0.13,60,240,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
5,下沉式广场排水集水井潜水排污泵,80WQE50-25-5.5,65,15,,5.5,3,0.13,2650,7950,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-3ACS-5.5/B（主要元器件：正泰）,,,,,1,0.13,2100,2100,上海连城,二用一备；超高液位报警、三泵同时启动2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-80,,,,,3,0.13,590,1770,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,3,0.13,80,240,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,3,0.13,165,495,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,3,0.13,60,180,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
6,楼梯间排水集水井潜水排污泵,50WQE20-15-1.5,15,15,,1.5,2,0.13,1220,2440,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-2ACS-1.5/B（主要元器件：正泰）,,,,,1,0.13,1405,1405,上海连城,一用一备；超高液位报警、二泵同时启动2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-50,,,,,2,0.13,340,680,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,2,0.13,80,160,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,2,0.13,165,330,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,2,0.13,60,120,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
7,机房排水集水井潜水排污泵,80WQE50-15-4,40,14,,4,10,0.13,2030,20300,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-2ACS-4/B（主要元器件：正泰）,,,,,5,0.13,1405,7025,上海连城,一用一备；超高液位报警、二泵同时启动2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-80,,,,,10,0.13,590,5900,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,10,0.13,80,800,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,10,0.13,165,1650,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,10,0.13,60,600,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
8,空调机房排水集水井潜水排污泵,50WQE20-15-1.5,20,15,,1.5,4,0.13,1220,4880,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-2ACS-1.5/B（主要元器件：正泰）,,,,,2,0.13,1405,2810,上海连城,一用一备；超高液位报警、二泵同时启动2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-50,,,,,4,0.13,340,1360,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,4,0.13,80,320,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,4,0.13,165,660,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,4,0.13,60,240,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
9,消防电梯排水集水井潜水排污泵,65WQE30-22-4,36,17,,4,6,0.13,1660,9960,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-2ACS-4/B-D（主要元器件：正泰）,,,,,3,0.13,2560,7680,上海连城,双电源，一用一备；超高液位报警、二泵同时启动，含双电源国产系列CB级。2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-65,,,,,6,0.13,410,2460,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,6,0.13,80,480,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,6,0.13,165,990,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,6,0.13,60,360,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
10,消防水泵房集水井潜水排污泵,80WQE50-20-5.5,55,15,,5.5,4,0.13,2650,10600,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-4ACS-5.5/B-D（主要元器件：正泰）,,,,,1,0.13,4800,4800,上海连城,双电源，一用一备；超高液位报警、二泵同时启动，含双电源国产系列CB级。2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-80,,,,,4,0.13,590,2360,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,4,0.13,80,320,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,4,0.13,165,660,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,4,0.13,60,240,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
11,消防报警阀间排水集水井潜水排污泵,80WQE50-15-4,50,15,,4,4,0.13,2030,8120,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-2ACS-4/B-D（主要元器件：正泰）,,,,,2,0.13,2560,5120,上海连城,双电源，一用一备；超高液位报警、二泵同时启动，含双电源国产系列CB级。2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-80,,,,,4,0.13,590,2360,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,4,0.13,80,320,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,4,0.13,165,660,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,4,0.13,60,240,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
12,污水间地面排水集水井潜水排污泵,50WQE20-15-1.5,20,15,,1.5,4,0.13,1220,4880,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-2ACS-1.5/B（主要元器件：正泰）,,,,,2,0.13,1405,2810,上海连城,一用一备；超高液位报警、二泵同时启动2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-50,,,,,4,0.13,340,1360,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,4,0.13,80,320,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,4,0.13,165,660,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,4,0.13,60,240,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
13,客梯排水集水井潜水排污泵,50WQE15-22-2.2,15,17,,2.2,10,0.13,1340,13400,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-2ACS-2.2/B（主要元器件：正泰）,,,,,5,0.13,1405,7025,上海连城,一用一备；超高液位报警、二泵同时启动2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-50,,,,,10,0.13,340,3400,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,4,0.13,80,320,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,4,0.13,165,660,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,4,0.13,60,240,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
14,电缆沟排水集水井潜水排污泵,65WQE30-10-1.5,30,10,,1.5,4,0.13,1545,6180,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-2ACS-1.5/B（主要元器件：正泰）,,,,,2,0.13,3500,7000,上海连城,一用一备、超高液位报警、二泵同时启动，户外型安装（箱体材质冷轧钢板）2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-65,,,,,4,0.13,410,1640,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,4,0.13,80,320,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,4,0.13,165,660,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,4,0.13,60,240,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
15,电缆夹层排水集水井潜水排污泵,50WQE20-15-1.5,10,15,,1.5,4,0.13,1340,5360,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-2ACS-21.5/B（主要元器件：正泰）,,,,,2,0.13,1405,2810,上海连城,一用一备；超高液位报警、二泵同时启动2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
