序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
11,单层格栅风口带阀,AV/D,1500*2000,铝合金,3,只,1409,4227,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
12,单层格栅风口带阀,AV/D,1500*2800,铝合金,1,只,1952,1952,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
13,单层格栅风口带阀,AV/D,2000*1200,铝合金,2,只,1138,2276,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
14,单层格栅风口带阀,AV/D,200*200,铝合金,9,只,71,639,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
15,单层格栅风口带阀,AV/D,200*400,铝合金,1,只,90,90,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
16,单层格栅风口带阀,AV/D,250*250,铝合金,1,只,82,82,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
17,单层格栅风口带阀,AV/D,2600*2200,铝合金,1,只,2639,2639,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
18,单层格栅风口带阀,AV/D,300*300,铝合金,5,只,94,470,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
19,单层格栅风口带阀,AV/D,300*500,铝合金,2,只,122,244,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
20,单层格栅风口带阀,AV/D,350*300,铝合金,2,只,102,204,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
21,单层格栅风口带阀,AV/D,350*350,铝合金,13,只,110,1430,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
22,单层格栅风口带阀,AV/D,400*600,铝合金,1,只,162,162,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
23,单层格栅风口带阀,AV/D,500*2200,铝合金,2,只,552,1104,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
24,单层格栅风口带阀,AV/D,500*300,铝合金,5,只,122,610,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
25,单层格栅风口带阀,AV/D,500*400,铝合金,3,只,144,432,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
26,单层格栅风口带阀,AV/D,500*450,铝合金,7,只,155,1085,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
27,单层格栅风口带阀,AV/D,500*500,铝合金,3,只,167,501,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
28,单层格栅风口带阀,AV/D,600*1000,铝合金,2,只,325,650,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
29,单层格栅风口带阀,AV/D,600*400,铝合金,2,只,162,324,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
30,单层格栅风口带阀,AV/D,600*450,铝合金,2,只,176,352,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
31,单层格栅风口带阀,AV/D,600*500,铝合金,3,只,190,570,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
32,单层格栅风口带阀,AV/D,600*800,铝合金,2,只,270,540,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
33,单层格栅风口带阀,AV/D,630*500,铝合金,1,只,197,197,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
34,单层格栅风口带阀,AV/D,650*1800,铝合金,3,只,582,1746,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
35,单层格栅风口带阀,AV/D,700*300,铝合金,1,只,149,149,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
36,单层格栅风口带阀,AV/D,800*1000,铝合金,2,只,416,832,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
37,单层格栅风口带阀,AV/D,800*1200,铝合金,1,只,488,488,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
38,单层格栅风口带阀,AV/D,800*300,铝合金,7,只,162,1134,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
39,单层格栅风口带阀,AV/D,800*800,铝合金,14,只,344,4816,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
40,单层格栅风口带阀,AV/D,900*3000,铝合金,1,只,1274,1274,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
41,防火风口,GF,1500*1000,铝合金+镀锌板,1,只,2892,2892,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
42,防火风口,GF,1500*2000,铝合金+镀锌板,7,只,4968,34776,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
43,防火风口,GF,1800*1800,铝合金+镀锌板,1,只,5215,5215,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
44,防火风口,GF,500*500,铝合金+镀锌板,1,只,689,689,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
45,正压送风口,GP,1000*(600+250),铝合金+镀锌板,1,只,1065,1065,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
46,正压送风口,GP,320*(1800+250),铝合金+镀锌板,1,只,1556,1556,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
47,正压送风口,GP,450*(1200+250),铝合金+镀锌板,1,只,1586,1586,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
48,正压送风口,GP,500*(1000+250),铝合金+镀锌板,1,只,1202,1202,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
49,正压送风口,GP,500*(1200+250),铝合金+镀锌板,1,只,1308,1308,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
50,正压送风口,GP,500*(800+250),铝合金+镀锌板,6,只,1095,6570,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
51,正压送风口,GP,600*(1000+250),铝合金+镀锌板,2,只,1316,2632,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
52,正压送风口,GP,600*(1200+250),铝合金+镀锌板,1,只,1768,1768,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
53,正压送风口,GP,700*(800+250),铝合金+镀锌板,2,只,1310,2620,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
54,正压送风口,GP,800*(400+250),铝合金+镀锌板,1,只,979,979,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
55,正压送风口,GP,800*(500+250),铝合金+镀锌板,2,只,1042,2084,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
56,正压送风口,GP,800*(800+250),铝合金+镀锌板,2,只,1418,2836,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
57,单层格栅风口,AV,2000*300,铝合金,1,只,279,279,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
58,单层格栅风口,AH,200*200,铝合金,24,只,67,1608,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
59,单层格栅风口带阀,AV/D,1500*2000,铝合金,2,只,1409,2818,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
60,单层格栅风口带阀,AV/D,1000*1000,铝合金,5,只,506,2530,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
61,单层格栅风口带阀,AV/D,1000*1200,铝合金,3,只,596,1788,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
62,单层格栅风口带阀,AV/D,1000*800,铝合金,4,只,416,1664,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
63,单层格栅风口带阀,AV/D,1200*250,铝合金,324,只,150,48600,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
64,单层格栅风口带阀,AV/D,1200*600,铝合金,1,只,380,380,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
65,单层格栅风口带阀,AV/D,120*200,铝合金,24,只,65,1560,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
66,单层格栅风口带阀,AV/D,1500*2000,铝合金,2,只,1409,2818,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
67,单层格栅风口带阀,AV/D,200*200,铝合金,9,只,71,639,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
68,单层格栅风口带阀,AV/D,200*400,铝合金,1,只,90,90,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
69,单层格栅风口带阀,AV/D,250*250,铝合金,1,只,82,82,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
70,单层格栅风口带阀,AV/D,250*800,铝合金,1,只,144,144,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
71,单层格栅风口带阀,AV/D,500*200,铝合金,6,只,100,600,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
72,单层格栅风口带阀,AV/D,500*2200,铝合金,1,只,552,552,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
73,单层格栅风口带阀,AV/D,500*2300,铝合金,1,只,574,574,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
74,单层格栅风口带阀,AV/D,500*300,铝合金,8,只,122,976,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
75,单层格栅风口带阀,AV/D,500*450,铝合金,2,只,155,310,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
76,单层格栅风口带阀,AV/D,500*900,铝合金,2,只,257,514,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
77,单层格栅风口带阀,AV/D,600*1500,铝合金,2,只,460,920,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
78,单层格栅风口带阀,AV/D,600*250,铝合金,2,只,122,244,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
79,单层格栅风口带阀,AV/D,600*400,铝合金,4,只,162,648,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
80,单层格栅风口带阀,AV/D,650*1800,铝合金,1,只,582,582,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
81,单层格栅风口带阀,AV/D,800*1100,铝合金,1,只,452,452,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
82,单层格栅风口带阀,AV/D,800*1200,铝合金,1,只,488,488,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
83,单层格栅风口带阀,AV/D,800*1500,铝合金,1,只,596,596,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
84,单层格栅风口带阀,AV/D,800*300,铝合金,1,只,162,162,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
85,单层格栅风口带阀,AV/D,800*500,铝合金,1,只,234,234,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
86,单层格栅风口带阀,AV/D,800*600,铝合金,5,只,270,1350,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
87,防火风口,GF,1500*2000,铝合金+镀锌板,8,只,4968,39744,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
88,防火风口,GF,1800*2200,铝合金+镀锌板,2,只,5777,11554,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
89,防火风口,GF,2000*1500,铝合金+镀锌板,2,只,4158,8316,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
90,防火风口,GF,2000*2000,铝合金+镀锌板,1,只,5847,5847,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
91,正压送风口,GP,1000*(600+250),铝合金+镀锌板,1,只,1065,1065,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
92,正压送风口,GP,1200*(1200+250),铝合金+镀锌板,1,只,2153,2153,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
93,正压送风口,GP,1500*2500,铝合金+镀锌板,2,只,6126,12252,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
