序号,产品名称,型号,流量Q(m3/h),扬程H(m),转数,功率N(KW),数量,税率,单价,总价,品牌,备        注
,自耦装置,DN:65,,,,,12,0.13,420,5040,,自耦装置材质：HT200；
,304不锈钢导杆,32*1.2,,,,,12,0.13,350,4200,,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
,304不锈钢链条,6mm,,,,,12,0.13,135,1620,,304不锈钢链条长度2.0米；长度每增加一米价格加115元
,控制柜,KQK/T-2ACB-4,,,,,6,0.13,1650,9900,,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），带油室进水、电机腔进水、绕组过热等保护功能，元器件：天正；2个断路器；
,浮球,GY-A1,,,,,18,0.13,115,2070,,控制线每增加一米，价格加15元。
8,潜水排污泵,65WQ/EC40-30-5.5,36,25,2920,5.5,10,0.13,3500,35000,,2025.12.15，电缆线5米；增加一米价格加30元；泵体材质：HT200；泵轴材质：2CR13；电机带过热保护及油室漏水电机漏水保护
,自耦装置,DN:65,,,,,10,0.13,420,4200,,自耦装置材质：HT200；
,304不锈钢导杆,32*1.2,,,,,10,0.13,350,3500,,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
,304不锈钢链条,6mm,,,,,10,0.13,135,1350,,304不锈钢链条长度2.0米；长度每增加一米价格加115元
,控制柜,KQK/T-2ACB-5.5,,,,,2,0.13,1650,3300,,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），带油室进水、电机腔进水、绕组过热等保护功能，元器件：天正；2个断路器；
,控制柜,KQK/T-3ACB-5.5,,,,,2,0.13,3000,6000,,一控三；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过5浮球控制（低水位：停泵，1水位启1台泵，2水位启2台泵，3水位启三台泵，超高水位发出报警信号），带油室进水、电机腔进水、绕组过热等保护功能，元器件：天正；3个断路器；
,浮球,GY-A1,,,,,16,0.13,115,1840,,控制线每增加一米，价格加15元。
9,潜水排污泵,65WQ/EC40-30-5.5,36,28,2920,5.5,14,0.13,3500,49000,,2025.12.15，电缆线5米；增加一米价格加30元；泵体材质：HT200；泵轴材质：2CR13；电机具有：过热保护及油室漏水电机漏水保护
,自耦装置,DN:65,,,,,14,0.13,420,5880,,自耦装置材质：HT200；
,304不锈钢导杆,32*1.2,,,,,14,0.13,350,4900,,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
,304不锈钢链条,6mm,,,,,14,0.13,135,1890,,304不锈钢链条长度2.0米；长度每增加一米价格加115元
,控制柜,KQK/T-2ACB-5.5,,,,,7,0.13,1650,11550,,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），带油室进水、电机腔进水、绕组过热等保护功能，元器件：天正；2个断路器；
,浮球,GY-A1,,,,,21,0.13,115,2415,,控制线每增加一米，价格加15元。
10,潜水排污泵,50WQ/E20-10.5-1.1,18,10,2825,1.1,2,0.13,1260,2520,,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
,自耦装置,DN:50,,,,,2,0.13,300,600,,自耦装置材质：HT200；
,304不锈钢导杆,32*1.2,,,,,2,0.13,350,700,,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
,304不锈钢链条,6mm,,,,,2,0.13,135,270,,304不锈钢链条长度2.0米；长度每增加一米价格加115元
,控制柜,KQK/T-2ACE-1.1,,,,,1,0.13,1100,1100,,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
,浮球,GY-A1,,,,,3,0.13,115,345,,控制线每增加一米，价格加15元。
11,潜水排污泵,50WQ/E10-24-1.5,8,23,2840,1.5,2,0.13,1350,2700,,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
,自耦装置,DN:50,,,,,2,0.13,300,600,,自耦装置材质：HT200；
,304不锈钢导杆,32*1.2,,,,,2,0.13,350,700,,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
,304不锈钢链条,6mm,,,,,2,0.13,135,270,,304不锈钢链条长度2.0米；长度每增加一米价格加115元
,控制柜,KQK/T-2ACE-1.5,,,,,1,0.13,1100,1100,,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
,浮球,GY-A1,,,,,3,0.13,115,345,,控制线每增加一米，价格加15元。
