序号,名称,规格,壁厚,牌号,连接方式,承压,单位,工程量,不含税单价,不含税总价,含税单价,含税总价,品牌,备注
1,304不锈钢雨水管,DN100,2.0mm,304,承插或沟槽,/,米,12000,92.9203539823009,1115044.24778761,105,1260000,金羊,执行标准GB/T 29038-2012，提供两台机具，2025.11.20，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
2,卡箍,DN100,0,不锈钢,0,0,只,1,86.7256637168142,86.7256637168142,98,98,金羊,执行标准GB/T 29038-2012，提供两台机具，2025.11.20，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
3,45度弯头,DN100,0,不锈钢,0,0,只,1,161.787610619469,161.787610619469,182.82,182.82,金羊,执行标准GB/T 29038-2012，提供两台机具，2025.11.20，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
4,U型墙卡,DN100,0,M8,0,0,只,1,4.20353982300885,4.20353982300885,4.75,4.75,金羊,执行标准GB/T 29038-2012，提供两台机具，2025.11.20，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
5,87型侧排雨水斗,DN100,0,不锈钢,0,0,只,1,192.522123893805,192.522123893805,217.55,217.55,金羊,执行标准GB/T 29038-2012，提供两台机具，2025.11.20，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
1,304薄壁不锈钢管,DN250,3.5,304,0,0,米,14,386.99,5417.86,437.2987,6122.1818,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
2,304薄壁不锈钢管,DN200,3,304,0,0,米,71,265.74,18867.54,300.2862,21320.3202,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
3,304薄壁不锈钢管,DN150,2.2,304,0,0,米,1198,177.37,212489.26,200.4281,240112.8638,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
4,304薄壁不锈钢管,DN100,1.5,304,0,0,米,3064,78.83,241535.12,89.0779,272934.6856,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
5,304薄壁不锈钢管,DN80,1.5,304,0,0,米,1557,71.18,110827.26,80.4334,125234.8038,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
6,304薄壁不锈钢管,DN65,1.5,304,0,0,米,793,60.75,48174.75,68.6475,54437.4675,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
7,304薄壁不锈钢管,DN60,1.2,304,0,0,米,1386,39.91,55315.26,45.0983,62506.2438,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
8,304薄壁不锈钢管,DN50,1,304,0,0,米,4094,26.36,107917.84,29.7868,121947.1592,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
9,304薄壁不锈钢管,DN40,1,304,0,0,米,1214,20.66,25081.24,23.3458,28341.8012,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
10,304薄壁不锈钢管,DN32,1,304,0,0,米,397,16.42,6518.74,18.5546,7366.1762,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
11,304薄壁不锈钢管,DN25,0.8,304,0,0,米,5568,10.28,57239.04,11.6164,64680.1152,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
12,304薄壁不锈钢管,DN20,0.7,304,0,0,米,173,7.04,1217.92,7.9552,1376.2496,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
13,304薄壁不锈钢管,DN15,0.6,304,0,0,米,48,4.87,233.76,5.5031,264.1488,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
14,直通,DN15,0,0,0,0,个,8,2,16,2.26,18.08,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
15,直通,DN20,0,0,0,0,个,8,2.99,23.92,3.3787,27.0296,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
16,直通,DN25,0,0,0,0,个,8,4.2,33.6,4.746,37.968,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
17,直通,DN32,0,0,0,0,个,8,6.4,51.2,7.232,57.856,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
18,直通,DN40,0,0,0,0,个,8,8.96,71.68,10.1248,80.9984,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
19,直通,DN50,0,0,0,0,个,8,16.07,128.56,18.1591,145.2728,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
20,直通,DN60,0,0,0,0,个,8,23.91,191.28,27.0183,216.1464,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
21,直通,DN65,0,0,0,0,个,8,42.22,337.76,47.7086,381.6688,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
22,直通,DN80,0,0,0,0,个,8,51.98,415.84,58.7374,469.8992,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
23,异径直通,DN20×15,0,0,0,0,个,8,4.06,32.48,4.5878,36.7024,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
24,异径直通,DN25×15,0,0,0,0,个,8,5.28,42.24,5.9664,47.7312,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
25,异径直通,DN25×20,0,0,0,0,个,8,9.06,72.48,10.2378,81.9024,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
26,异径直通,DN32×15,0,0,0,0,个,8,10.58,84.64,11.9554,95.6432,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
27,异径直通,DN32×20,0,0,0,0,个,8,11.26,90.08,12.7238,101.7904,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
28,异径直通,DN32×25,0,0,0,0,个,8,12.37,98.96,13.9781,111.8248,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
29,异径直通,DN40×15,0,0,0,0,个,8,13.81,110.48,15.6053,124.8424,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
30,异径直通,DN40×20,0,0,0,0,个,8,14.49,115.92,16.3737,130.9896,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
31,异径直通,DN40×25,0,0,0,0,个,8,15.06,120.48,17.0178,136.1424,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
32,异径直通,DN40×32,0,0,0,0,个,8,16.17,129.36,18.2721,146.1768,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
33,异径直通,DN50×15,0,0,0,0,个,8,21.29,170.32,24.0577,192.4616,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
34,异径直通,DN50×20,0,0,0,0,个,8,21.97,175.76,24.8261,198.6088,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
35,异径直通,DN50×25,0,0,0,0,个,8,22.53,180.24,25.4589,203.6712,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
36,异径直通,DN50×32,0,0,0,0,个,8,23.7,189.6,26.781,214.248,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
37,异径直通,DN50×40,0,0,0,0,个,8,25.29,202.32,28.5777,228.6216,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
38,异径直通,DN60×15,0,0,0,0,个,8,30.78,246.24,34.7814,278.2512,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
39,异径直通,DN60×20,0,0,0,0,个,8,31.67,253.36,35.7871,286.2968,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
40,异径直通,DN60×25,0,0,0,0,个,8,32.19,257.52,36.3747,290.9976,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
41,异径直通,DN60×32,0,0,0,0,个,8,33.2,265.6,37.516,300.128,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
42,异径直通,DN60×40,0,0,0,0,个,8,35.07,280.56,39.6291,317.0328,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
43,异径直通,DN60×50,0,0,0,0,个,8,39.35,314.8,44.4655,355.724,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
44,异径直通,DN65×15,0,0,0,0,个,8,46.73,373.84,52.8049,422.4392,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
45,异径直通,DN65×20,0,0,0,0,个,8,47.49,379.92,53.6637,429.3096,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
46,异径直通,DN65×25,0,0,0,0,个,8,48.07,384.56,54.3191,434.5528,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
47,异径直通,DN65×32,0,0,0,0,个,8,49.06,392.48,55.4378,443.5024,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
48,异径直通,DN65×40,0,0,0,0,个,8,50.92,407.36,57.5396,460.3168,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
49,异径直通,DN65×50,0,0,0,0,个,8,55.81,446.48,63.0653,504.5224,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
50,异径直通,DN65×60,0,0,0,0,个,8,60.42,483.36,68.2746,546.1968,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
51,异径直通,DN80×15,0,0,0,0,个,8,46.73,373.84,52.8049,422.4392,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
52,异径直通,DN80×20,0,0,0,0,个,8,47.49,379.92,53.6637,429.3096,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
53,异径直通,DN80×25,0,0,0,0,个,8,48.07,384.56,54.3191,434.5528,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
54,异径直通,DN80×32,0,0,0,0,个,8,49.06,392.48,55.4378,443.5024,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
55,异径直通,DN80×40,0,0,0,0,个,8,50.92,407.36,57.5396,460.3168,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
56,异径直通,DN80×50,0,0,0,0,个,8,55.81,446.48,63.0653,504.5224,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
57,异径直通,DN80×60,0,0,0,0,个,8,86.56,692.48,97.8128,782.5024,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
58,异径直通,DN80×65,0,0,0,0,个,8,86.56,692.48,97.8128,782.5024,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
59,外丝直通,DN15×½,0,0,0,0,个,8,6.7,53.6,7.571,60.568,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
60,外丝直通,DN20×¾,0,0,0,0,个,8,8.4,67.2,9.492,75.936,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
61,外丝直通,"DN25×1""",0,0,0,0,个,8,11.36,90.88,12.8368,102.6944,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
62,外丝直通,DN32×1¼,0,0,0,0,个,8,15.61,124.88,17.6393,141.1144,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
63,外丝直通,DN40×1½,0,0,0,0,个,8,19.96,159.68,22.5548,180.4384,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
64,外丝直通,"DN50×2""",0,0,0,0,个,8,29.29,234.32,33.0977,264.7816,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
65,外丝直通,DN60×2½,0,0,0,0,个,8,102.11,816.88,115.3843,923.0744,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
66,内丝直通,DN15×½,0,0,0,0,个,8,6.7,53.6,7.571,60.568,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
67,内丝直通,DN20×¾,0,0,0,0,个,8,8.48,67.84,9.5824,76.6592,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
68,内丝直通,"DN25×1""",0,0,0,0,个,8,11.42,91.36,12.9046,103.2368,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
69,内丝直通,DN32×1¼,0,0,0,0,个,8,16.23,129.84,18.3399,146.7192,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
70,内丝直通,DN40×1½,0,0,0,0,个,8,20.6,164.8,23.278,186.224,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
71,内丝直通,"DN50×2""",0,0,0,0,个,8,30.74,245.92,34.7362,277.8896,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
72,内丝直通,DN60×2½,0,0,0,0,个,8,102.11,816.88,115.3843,923.0744,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
73,内丝直通,DN15×½,0,0,0,0,个,8,6.7,53.6,7.571,60.568,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
74,内丝直通,DN20×¾,0,0,0,0,个,8,8.48,67.84,9.5824,76.6592,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
75,内丝直通,"DN25×1""",0,0,0,0,个,8,11.42,91.36,12.9046,103.2368,共同,2025.7.7，相应机具免费提供壹台，含活接密封圈，货到现场2月支付至到货金额80%，竣工支付至结算金额95%，5%质保2年（如有需要，乙方接受配合甲方债权转让或抵消，以房屋等资产抵偿等形式清偿材料款）
