序号,名称,型号,风盘管制,风量m³/h,数量,单位,过滤网材质,风盘本体价格,回风箱价格,滴水盘价格,单价合计,价税合计,品牌,备注滴水盘材质、长度
11,直流无刷卧式暗装风机盘管,SDCR1000E30PBF-WA4,,1700,50,台,,,,,1796,89800,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
12,直流无刷卧式暗装风机盘管,SDCR1200E30PBF-WA4,,2040,20,台,,,,,1863,37260,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
13,直流无刷卧式暗装风机盘管,SDCR1400E30PBF-WA4,,2380,70,台,,,,,2092,146440,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
14,交流电机卧式暗装风机盘管,SGCR200E30D21PBF-WA1,,340,12,台,,,,,625,7500,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
15,交流电机卧式暗装风机盘管,SGCR600E30D21PBF-WA1,,1020,28,台,,,,,908,25424,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
16,交流电机卧式暗装风机盘管,SGCR1000E30D21PBF-WA1,,1700,39,台,,,,,1393,54327,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
17,交流电机卧式暗装风机盘管,SGCR800E30D21PBF-WA1,,1360,22,台,,,,,1262,27764,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
18,交流电机卧式暗装风机盘管,SGCR200E30D21PBF-WA1,,340,13,台,,,,,625,8125,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
19,交流电机卧式暗装风机盘管,SGCR600E30D21PBF-WA1,,1020,12,台,,,,,908,10896,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
20,交流电机卧式暗装风机盘管,SGCR800E30D21PBF-WA1,,1360,16,台,,,,,1262,20192,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
