序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
63,AH 单层百叶风口,,1000*600,,1,个,136,136,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
64,AH 单层百叶风口,,1200*600,,1,个,163,163,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
65,AH 单层百叶风口,,1200*600,,6,个,163,978,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
66,AH 单层百叶风口,,1200*600,,4,个,163,652,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
67,AH 单层百叶风口,,1200*600,,3,个,163,489,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
68,AH 单层百叶风口,,1200*600,,8,个,163,1304,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
69,AH 单层百叶风口,,1200*600,,8,个,163,1304,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
70,AH 单层百叶风口,,1200*600,,3,个,163,489,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
71,VD 手动调节阀,,500*200,,1,个,126,126,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
72,VD 手动调节阀,,1000*320,,1,个,259,259,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
73,VD 手动调节阀,,630*500,,1,个,246,246,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
74,VD 手动调节阀,,400*200,,3,个,109,327,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
75,VD 手动调节阀,,500*400,,3,个,180,540,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
76,VD 手动调节阀,,250*160,,1,个,93,93,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
77,VD 手动调节阀,,250*120,,2,个,86,172,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
78,ZP100,,1250*800,,1,个,3599,3599,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
79,AH 单层百叶风口,,1200*600,,6,个,163,978,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
