序号,产品名称,型号,流量Q(m3/h),扬程H(m),转数,功率N(KW),数量,税率,单价,总价,品牌,备        注
0,导杆,32*1.2,0,0,0,0,3,0.13,190,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,3,0.13,60,180,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,3,0.13,70,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
17,B1卸货区集水井排水泵,50WQ11072,15,20,2840,2.2,2,0.13,1650,3300,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,190,380,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,60,120,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
18,B1垃圾房集水井排水泵,50WQ11072,15,20,2840,2.2,2,0.13,1650,3300,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,190,380,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,60,120,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
19,B2雨水机房集水井排水泵,50WQ11103,20,20,2840,2.2,2,0.13,1650,3300,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,285,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,95,190,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
20,B2隔油间集水井排水泵,50WQ11101,10,18,2840,1.5,2,0.13,1520,3040,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,285,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,95,190,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
21,B2隔油间集水井排水泵,50WQ11101,10,18,2840,1.5,2,0.13,1520,3040,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,285,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,95,190,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
22,B3地库冲洗集水井排水泵,50WQ11064,15,25,2840,3,2,0.13,2005,4010,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,285,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,95,190,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
23,B3普通电梯集水井排水泵,50WQ11053,10,30,2840,3,1,0.13,2265,2265,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,1,0.13,400,400,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,1,0.13,665,665,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,1,0.13,210,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,1,0.13,70,70,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
24,B3地库冲洗集水井排水泵,50WQ11072,15,20,2840,2.2,2,0.13,1650,3300,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,285,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,95,190,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
25,B3地库冲洗集水井排水泵,50WQ11064,15,25,2840,3,2,0.13,2005,4010,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,285,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,95,190,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
26,B3地库冲洗集水井排水泵,50WQ11064,15,25,2840,3,2,0.13,2005,4010,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,285,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,95,190,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
27,B3地库冲洗集水井排水泵,65WQ11091A,25,25,2890,4,2,0.13,2330,4660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,285,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,95,190,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
28,B3消防电梯集水井排水泵,65WQ11085,40,30,2900,5.5,2,0.13,3500,7000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,760,1520,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,240,480,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
29,B3地库冲洗集水井排水泵,65WQ11091A,25,25,2890,4,2,0.13,2330,4660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,330,660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,105,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
30,B3普通电梯集水井排水泵,50WQ11053,10,30,2900,3,1,0.13,2265,2265,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,1,0.13,400,400,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,1,0.13,950,950,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,1,0.13,300,300,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,1,0.13,120,120,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
31,B3地库冲洗集水井排水泵,65WQ11091A,25,25,2890,4,2,0.13,2330,4660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,330,660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,105,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
32,B3地库冲洗集水井排水泵,65WQ11091A,25,25,2890,4,2,0.13,2330,4660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,330,660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,105,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
33,B3普通电梯集水井排水泵,50WQ11053,10,30,2900,3,1,0.13,2265,2265,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,1,0.13,400,400,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,1,0.13,1150,1150,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,1,0.13,360,360,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,1,0.13,120,120,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
34,B3消防电梯集水井排水泵,65WQ11085,40,30,2900,5.5,2,0.13,3500,7000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,860,1720,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,270,540,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,120,240,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
35,B3地库冲洗集水井排水泵,65WQ11091A,25,25,2890,4,2,0.13,2330,4660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,330,660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,105,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
36,B3地库冲洗集水井排水泵,65WQ11091A,25,25,2890,4,2,0.13,2330,4660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,330,660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,105,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
37,B3地库冲洗集水井排水泵,65WQ11091A,25,25,2890,4,2,0.13,2330,4660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,330,660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,105,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
38,B3普通电梯集水井排水泵,50WQ11053,10,30,2900,3,1,0.13,2265,2265,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,1,0.13,400,400,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,1,0.13,950,950,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
