1-1,柜号：2ZXF、2BXF,型号：,,,,名称：,,
11,塑壳断路器,D1C 125 MF100/1200 F F 3P,只,1,230.37,230.37,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,3,216.25,648.75,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,除湿装置,WA120,只,1,350,350,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,元器件小计,,,,,6099.79,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
15,人工费,,,,,825,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
16,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
17,铜排,,,,,242,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
18,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
19,单台合计,,,,,7166.79,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,2,,14333.58,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-2,柜号：SZXF、SBXF,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,800*1250*250,只,1,604.5,604.5,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,消防电源监控,PXPM V,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,隔离开关,3KD3-160A-3P-灰色手柄,只,1,340.95,340.95,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,浪涌保护器+后备保护器,OVRF2 4L 80-350+SJ204-C63,套,1,1108.72,1108.72,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,消防电源监控,PXPM L,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,电流互感器,BH-0.66Ⅱ 100/5 Φ30 0.5级 1匝,只,6,29.775,178.65,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,多功能表,AMC72L-KCF,只,1,350,350,安科瑞,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,除湿装置,WA120,只,1,350,350,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,塑壳断路器,D1C 125 MF25/384 F F 3P,只,3,230.37,691.11,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,塑壳断路器,D1C 125 TMF50/500 F F 3P,只,1,216.25,216.25,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,2,216.25,432.5,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,元器件小计,,,,,4272.68,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,人工费,,,,,385,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
15,铜排,,,,,50,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
16,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
17,单台合计,,,,,4707.68,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,2,,9415.36,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-3,柜号：4ZXF、4BXF,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,800*2200*550,只,1,1287,1287,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,消防电源监控,PXPM V,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,隔离开关,3KD4-400A-3P-灰色手柄,只,1,909.52,909.52,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,浪涌保护器+后备保护器,OVRF2 4L 80-350+SJ204-C63,套,1,1108.72,1108.72,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,电流互感器,BH-0.66Ⅱ 300/5 Φ30 0.5级 1匝,只,6,29.775,178.65,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,消防电源监控,PXPM L,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,多功能表,AMC72L-KCF,只,1,350,350,安科瑞,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,除湿装置,WA120,只,1,350,350,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,塑壳断路器,D1C 125 MF25/384 F F 3P,只,3,230.37,691.11,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,3,216.25,648.75,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,塑壳断路器,D1C 125 MF100/1200 F F 3P,只,3,230.37,691.11,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,1,216.25,216.25,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,塑壳断路器,D1C 125 TMF40/400 F F 3P,只,1,216.25,216.25,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,2,216.25,432.5,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
15,元器件小计,,,,,7079.86,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
16,人工费,,,,,880,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
17,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
18,铜排,,,,,270,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
19,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
20,单台合计,,,,,8229.86,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,2,,16459.72,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-4,柜号：7ZXF、7BXF,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,900*2200*550,只,1,1402.5,1402.5,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,消防电源监控,PXPM V,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,隔离开关,3KD4-400A-3P-灰色手柄,只,1,909.52,909.52,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,浪涌保护器+后备保护器,OVRF2 4L 80-350+SJ204-C63,套,1,1108.72,1108.72,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,消防电源监控,PXPM L,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,电流互感器,BH-0.66Ⅱ 300/5 Φ30 0.5级 1匝,只,6,29.775,178.65,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,多功能表,AMC72L-KCF,只,1,350,350,安科瑞,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,除湿装置,WA120,只,1,350,350,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,塑壳断路器,D1C 125 MF25/384 F F 3P,只,3,230.37,691.11,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,1,216.25,216.25,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,塑壳断路器,D1C 125 MF100/1200 F F 3P,只,1,230.37,230.37,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,塑壳断路器,D1C 125 MF100/1200 F F 3P,只,1,230.37,230.37,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,3,216.25,648.75,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,塑壳断路器,D1C 125 TMF40/400 F F 3P,只,4,216.25,865,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
15,塑壳断路器,D1C 125 TMF50/500 F F 3P,只,1,216.25,216.25,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
16,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,1,216.25,216.25,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
17,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,1,216.25,216.25,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
18,元器件小计,,,,,7829.99,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
19,人工费,,,,,990,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
20,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
21,铜排,,,,,500,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
22,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
23,单台合计,,,,,9319.99,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,2,,18639.98,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-5,柜号：9ZXF、9BXF,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,800*2200*550,只,1,1287,1287,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,消防电源监控,PXPM V,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,隔离开关,3KD3-200A-3P-灰色手柄,只,1,535.71,535.71,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,浪涌保护器+后备保护器,OVRF2 4L 80-350+SJ204-C63,套,1,1108.72,1108.72,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,电流互感器,BH-0.66Ⅱ 200/5 Φ30 0.5级 1匝,只,6,29.775,178.65,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,消防电源监控,PXPM L,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,多功能表,AMC72L-KCF,只,1,350,350,安科瑞,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,除湿装置,WA120,只,1,350,350,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,塑壳断路器,D1C 125 MF25/384 F F 3P,只,4,230.37,921.48,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,2,216.25,432.5,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,2,216.25,432.5,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,3,216.25,648.75,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,元器件小计,,,,,6245.31,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,人工费,,,,,825,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
