序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
11,方形散流器 C4/D,C4/D,300*300,JG/T14-2010,5,个,90,450,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
12,方形散流器 C4/D,C4/D,250*250,JG/T14-2010,7,个,78,546,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
13,方形散流器 C4/D,C4/D,200*200,JG/T14-2010,7,个,61,427,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
14,方形散流器 C4/D,C4/D,150*150,JG/T14-2010,13,个,55,715,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
15,多叶调节风阀,,500*250,JG/T436-2014,1,个,125,125,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
16,多叶调节风阀,,500*200,JG/T436-2014,4,个,117,468,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
17,多叶调节风阀,,400*200,JG/T436-2014,2,个,100,200,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
18,多叶调节风阀,,400*160,JG/T436-2014,3,个,94,282,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
19,多叶调节风阀,,320*160,JG/T436-2014,4,个,93,372,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
20,多叶调节风阀,,250*160,JG/T436-2014,5,个,85,425,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
21,多叶调节风阀,,250*120,JG/T436-2014,3,个,79,237,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
22,多叶调节风阀,,250*200,JG/T436-2014,3,个,91,273,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
23,多叶调节风阀,,200*160,JG/T436-2014,2,个,78,156,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
24,多叶调节风阀,,200*120,JG/T436-2014,3,个,71,213,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
25,多叶调节风阀,,160*160,JG/T436-2014,6,个,71,426,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
26,多叶调节风阀,,160*120,JG/T436-2014,8,个,65,520,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
27,电动多叶风阀,,800*400,JG/T436-2014,1,个,303,303,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
28,电动多叶风阀,,630*320,JG/T436-2014,5,个,259,1295,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
29,70℃防火阀 FVD,FVD,1250*400,GB/15930-2007,6,个,476,2856,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
30,70℃防火阀 FD,FD,1000*500,GB/15930-2007,1,个,484,484,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
31,70℃防火阀 FD,FD,1000*400,GB/15930-2007,1,个,414,414,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
32,70℃防火阀 FD,FD,800*400,GB/15930-2007,1,个,362,362,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
33,70℃防火阀 FD,FD,800*300,GB/15930-2007,1,个,335,335,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
34,70℃防火阀 FD,FD,800*250,GB/15930-2007,7,个,288,2016,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
35,70℃防火阀 FD,FD,630*320,GB/15930-2007,6,个,299,1794,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
36,70℃防火阀 FD,FD,630*250,GB/15930-2007,1,个,252,252,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
37,70℃防火阀 FD,FD,630*200,GB/15930-2007,4,个,240,960,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
38,70℃防火阀 FD,FD,500*250,GB/15930-2007,4,个,223,892,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
39,70℃防火阀 FD,FD,250*200,GB/15930-2007,1,个,171,171,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
40,70℃防火阀 FD,FD,500*200,GB/15930-2007,15,个,211,3165,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
41,70℃防火阀 FD,FD,400*250,GB/15930-2007,1,个,200,200,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
42,70℃防火阀 FD,FD,400*200,GB/15930-2007,2,个,188,376,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
43,70℃防火阀 FD,FD,320*160,GB/15930-2007,2,个,172,344,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
44,70℃防火阀 FD,FD,250*160,GB/15930-2007,2,个,161,322,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
45,70℃防火阀 FD,FD,200*160,GB/15930-2007,1,个,150,150,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
46,70℃防火阀 FD,FD,Φ450,GB/15930-2007,1,个,479,479,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
47,70℃防火阀 FD,FD,Φ220,GB/15930-2007,4,个,171,684,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
48,70℃防火阀 FD,FD,Φ200,GB/15930-2007,78,个,167,13026,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
49,止回阀 ,,800*250,JG/T436-2014,3,个,202,606,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
50,止回阀 ,,630*200,JG/T436-2014,3,个,159,477,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
51,止回阀 ,,400*250,JG/T436-2014,1,个,125,125,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
52,止回阀 ,,500*200,JG/T436-2014,5,个,135,675,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
53,止回阀 ,,500*250,JG/T436-2014,1,个,144,144,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
54,止回阀 ,,630*320,JG/T436-2014,2,个,182,364,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
55,止回阀 ,,1250*400,JG/T436-2014,7,个,318,2226,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
56,70℃电动防火阀 MEV,MEV,1250*400,GB/15930-2007,1,个,502,502,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
57,消声器 XZP100 L＝1米,XZP100型(L=1.0m),630*200,15K116-1,6,个,1238,7428,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
58,消声器 XZP100 L＝1米,XZP100型(L=1.0m),500*200,15K116-1,13,个,928,12064,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
59,消声器 XZP100 L＝1米,XZP100型(L=1.0m),400*200,15K116-1,2,个,612,1224,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
60,消声器 XZP100 L＝1米,XZP100型(L=1.0m),800*250,15K116-1,13,个,1572,20436,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
61,消声器 XZP100 L＝1米,XZP100型(L=1.0m),500*250,15K116-1,2,个,982,1964,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
62,消声器 XZP100 L＝1米,XZP100型(L=1.0m),1000*400,15K116-1,1,个,2156,2156,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
63,消声器 XZP100 L＝1米,XZP100型(L=1.0m),1000*500,15K116-1,1,个,2335,2335,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
64,消声器 XZP100 L＝1米,XZP100型(L=1.0m),800*400,15K116-1,3,个,1806,5418,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
65,单层格栅风口 AH,AH,200*200,JG/T14-2010,2,个,25,50,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
66,单层格栅风口 AH,AH,500*500,JG/T14-2010,2,个,70,140,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
67,方形散流器 C4/D,C4/D,500*500,JG/T14-2010,1,个,185,185,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
68,方形散流器 C4/D,C4/D,400*400,JG/T14-2010,3,个,134,402,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
69,方形散流器 C4/D,C4/D,300*300,JG/T14-2010,3,个,90,270,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
70,方形散流器 C4/D,C4/D,250*250,JG/T14-2010,1,个,78,78,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
71,方形散流器 C4/D,C4/D,200*200,JG/T14-2010,2,个,61,122,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
72,方形散流器 C4/D,C4/D,150*150,JG/T14-2010,2,个,55,110,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
73,多叶调节风阀,,500*200,JG/T436-2014,2,个,117,234,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
74,多叶调节风阀,,400*200,JG/T436-2014,1,个,100,100,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
75,多叶调节风阀,,320*160,JG/T436-2014,1,个,93,93,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
76,多叶调节风阀,,250*160,JG/T436-2014,3,个,85,255,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
77,电动对开多叶调节阀,,1250*320,JG/T436-2014,2,个,369,738,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
78,电动对开多叶调节阀,,1000*320,JG/T436-2014,2,个,323,646,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
79,电动对开多叶调节阀,,800*320,JG/T436-2014,2,个,290,580,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
80,70℃防火阀 FVD,FVD,800*400,GB/15930-2007,6,个,362,2172,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
81,70℃防火阀 FD,FD,630*400,GB/15930-2007,1,个,319,319,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
82,70℃防火阀 ,,400*200,GB/15930-2007,6,个,188,1128,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
83,70℃防火阀,,Φ400,GB/15930-2007,1,个,260,260,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
84,70℃防火阀,,Φ200,GB/15930-2007,34,个,170,5780,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
85,70℃防火阀,,Φ100,GB/15930-2007,1053,个,140,147420,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
86,消声器 XZP100 L＝1米,XZP100型(L=1.0m),630*400,15K116-1,2,个,1508,3016,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
87,消声器 XZP100 L＝1米,XZP100型(L=1.0m),630*200,15K116-1,2,个,1238,2476,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
88,消声器 XZP100 L＝1米,XZP100型(L=1.0m),500*200,15K116-1,2,个,928,1856,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
89,消声器 XZP100 L＝1米,XZP100型(L=1.0m),400*200,15K116-1,2,个,612,1224,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
90,消声器 XZP100 L＝1米,XZP100型(L=1.0m),200*120,15K116-1,2,个,459,918,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
91,单层格栅风口 AH,AH,200*200,JG/T14-2010,1,个,25,25,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
92,单层格栅风口 AH,AH,300*300,JG/T14-2010,1,个,38,38,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
93,方形散流器 C4/D,C4/D,400*400,JG/T14-2010,1,个,134,134,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
94,方形散流器 C4/D,C4/D,300*300,JG/T14-2010,9,个,90,810,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
95,方形散流器 C4/D,C4/D,200*200,JG/T14-2010,4,个,61,244,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
96,方形散流器 C4/D,C4/D,150*150,JG/T14-2010,1,个,55,55,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
97,方形散流器 C4/D,C4/D,100*100,JG/T14-2010,1,个,43,43,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
98,多叶调节风阀,,500*200,JG/T436-2014,1,个,117,117,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
99,多叶调节风阀,,400*200,JG/T436-2014,2,个,100,200,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
100,多叶调节风阀,,250*160,JG/T436-2014,1,个,85,85,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
101,多叶调节风阀,,250*60,JG/T436-2014,1,个,85,85,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
102,多叶调节风阀,,200*120,JG/T436-2014,2,个,71,142,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
103,电动对开多叶调节阀,,1250*320,JG/T436-2014,3,个,369,1107,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
104,电动对开多叶调节阀,,1000*320,JG/T436-2014,2,个,323,646,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
105,电动对开多叶调节阀,,800*320,JG/T436-2014,2,个,290,580,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
106,70℃防火阀 FVD,FVD,800*400,GB/15930-2007,8,个,362,2896,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
107,70℃防火阀 FD,FD,120*120,GB/15930-2007,1,个,123,123,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
108,70℃防火阀 FD,FD,Φ400,GB/15930-2007,1,个,260,260,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
109,70℃防火阀 FD,FD,Φ200,GB/15930-2007,34,个,170,5780,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
110,70℃防火阀 FD,FD,Φ100,GB/15930-2007,987,个,140,138180,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
111,止回阀 ,,400*200,JG/T436-2014,1,个,115,115,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
112,止回阀 ,,200*160,JG/T436-2014,2,个,76,152,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
113,消声器 XZP100 L＝1米,XZP100型(L=1.0m),630*200,15K116-1,3,个,1238,3714,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
114,消声器 XZP100 L＝1米,XZP100型(L=1.0m),500*200,15K116-1,1,个,928,928,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
115,消声器 XZP100 L＝1米,XZP100型(L=1.0m),400*200,15K116-1,4,个,612,2448,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
116,消声器 XZP100 L＝1米,XZP100型(L=1.0m),320*200,15K116-1,1,个,567,567,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
117,消声器 XZP100 L＝1米,XZP100型(L=1.0m),200*120,15K116-1,1,个,459,459,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
